cell_id,cluster,leiden
886,immune,3
887,luminal epithelial 1,0
888,luminal epithelial 3,22
889,proliferating epithelial,16
890,immune,1
891,proliferating epithelial,16
892,apoptotic epithelial 2,8
893,GATA3+ epithelial,0
894,immune,13
895,immune,3
896,proliferating epithelial,16
897,GATA3+ epithelial,0
898,basal epithelial 1,1
899,immune,3
900,proliferating epithelial,22
901,luminal epithelial 3,0
902,GATA3+ epithelial,0
903,proliferating epithelial,13
904,luminal epithelial 3,3
905,hypoxic cells,2
906,stromal 1,2
907,luminal epithelial 3,13
908,proliferating epithelial,8
909,GATA3+ epithelial,16
910,GATA3+ epithelial,13
911,immune,1
912,immune,2
913,luminal epithelial 1,0
914,proliferating epithelial,22
915,GATA3+ epithelial,1
916,immune,5
917,PR+ epithelial,2
918,immune,3
919,basal epithelial 1,3
920,immune,13
921,luminal epithelial 3,1
922,luminal epithelial 3,0
923,stromal 3,7
924,proliferating epithelial,8
925,immune,13
926,luminal epithelial 2,1
927,luminal epithelial 1,3
928,luminal epithelial 3,12
929,immune,14
930,basal epithelial 1,1
931,GATA3+ epithelial,13
932,t cells,2
933,stromal 3,2
934,epithelial,5
935,GATA3+ epithelial,8
936,GATA3+ epithelial,7
937,luminal epithelial 3,13
938,luminal epithelial 3,1
939,apoptotic epithelial 1,5
940,GATA3+ epithelial,3
941,basal epithelial 1,1
942,luminal epithelial 1,0
943,apoptotic epithelial 1,13
944,GATA3+ epithelial,1
945,luminal epithelial 2,1
946,luminal epithelial 1,0
947,t cells,5
948,GATA3+ epithelial,8
949,stromal 1,2
950,immune,1
951,immune,3
952,luminal epithelial 3,2
953,immune,3
954,luminal epithelial 1,0
955,luminal epithelial 1,0
956,GATA3+ epithelial,1
957,luminal epithelial 3,0
958,proliferating epithelial,0
959,luminal epithelial 3,22
960,t cells,3
961,immune,1
962,proliferating epithelial,0
963,luminal epithelial 1,1
964,luminal epithelial 3,3
965,GATA3+ epithelial,13
966,stromal 3,1
967,luminal epithelial 3,2
968,basal epithelial 1,1
969,GATA3+ epithelial,3
970,basal epithelial 1,1
971,luminal epithelial 3,1
972,immune,25
973,immune,0
974,luminal epithelial 3,0
975,luminal epithelial 3,0
976,immune,1
977,luminal epithelial 2,3
978,stromal 3,5
979,immune,2
980,immune,1
981,luminal epithelial 3,1
982,luminal epithelial 3,19
983,proliferating epithelial,2
984,proliferating epithelial,0
985,luminal epithelial 3,1
986,proliferating epithelial,2
987,luminal epithelial 3,1
988,luminal epithelial 1,14
989,t cells,3
990,luminal epithelial 3,22
991,immune,1
992,immune,3
